step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,rolling_vol,mean_deriv,predicted_degradation_step,actual_degradation_step,lead_time,fast_J,robust_J,timestamp
35,0.9998372793197632,0.999752110265087,2.345900000011447e-05,2.3914721367883144e-05,fast,STABLE,2.1292263669092648e-05,3.265380183850594e-05,1.3646368355835215e-05,,,,0.00018617968023693088,0.0002644905321045332,1770134193.259889
36,0.9998384118080139,0.9997693705736724,2.304200000002865e-05,2.3740177094312247e-05,fast,STABLE,1.72603085853984e-05,2.9785790596303197e-05,1.0185149646813052e-05,,,,0.00018463019198611264,0.0001308031045836877,1770134193.2609951
37,0.9998202323913574,0.9997795429372095,2.2999999999884224e-05,2.3592141675426643e-05,fast,STABLE,1.01723635370643e-05,3.021534099451012e-05,1.5210078030447604e-05,,,,0.00020276760864246235,0.0002138147701111759,1770134193.262101
38,0.9997795224189758,0.9997795388335629,2.312500000001272e-05,2.349871334034386e-05,fast,STABLE,-4.1036466447152975e-09,3.276656870205626e-05,1.4411581253703787e-05,,,,0.00024360258102418264,0.00031262066650405984,1770134193.263211
39,0.9996838569641113,0.9997604024596726,2.3166000000074405e-05,2.3432170672289973e-05,fast,STABLE,-1.9136373890282776e-05,3.2586963182992195e-05,5.916891650925571e-06,,,,0.0003393090358887463,0.0001646763799743045,1770134193.264311
40,0.9992433190345764,0.9996569857746533,2.2791999999993706e-05,2.3304136537830723e-05,fast,STABLE,-0.00010341668501923085,3.7693847914690595e-05,-1.9024898086739128e-05,,,,0.0007794729654235777,0.0004647855339050544,1770134193.26542
41,0.9993480443954468,0.9995951974988121,2.2666000000004516e-05,2.3176509230265485e-05,fast,STABLE,-6.17882758412458e-05,5.6711326590146446e-05,-3.4834614972067965e-05,,,,0.0006746216045532272,0.00010815913027939494,1770134193.2665238
42,0.9993957877159119,0.9995553155422321,2.2707999999926898e-05,2.308280738419777e-05,fast,STABLE,-3.9881956580001265e-05,7.605920938124166e-05,-4.484547899548108e-05,,,,0.0006269202840880617,0.00022717802447513868,1770134193.2676349
43,0.9998623132705688,0.9996167150878994,2.2750000000071324e-05,2.3016245907372486e-05,fast,STABLE,6.139954566730665e-05,8.092071538765724e-05,-3.2564749132690805e-05,,,,0.00016043672943122367,0.00019642805099495675,1770134193.268737
44,0.9997910261154175,0.999651577293403,2.2957999999961842e-05,2.300459672589036e-05,fast,STABLE,3.48622055036385e-05,8.135433706398051e-05,-2.176503325390655e-05,,,,0.00023193188458248137,0.00035209075527964373,1770134193.2702541
45,0.9998369216918945,0.9996886461731014,2.3082999999868292e-05,2.302027738068595e-05,fast,STABLE,3.706887969834316e-05,7.882851296077876e-05,6.3320796896082495e-06,,,,0.00018616130810533704,8.433510952765566e-05,1770134193.271827
